subject,nStartParticles,Nr_of_mutations,LL
y7a6denlnqvwcgm,1,1,172.2522988403569
y7a6denlnqvwcgm,1,5,179.63045824909116
y7a6denlnqvwcgm,1,10,179.25102909357489
y7a6denlnqvwcgm,1,100,180.3453688654118
y7a6denlnqvwcgm,1,1000,181.9938877426679
y7a6denlnqvwcgm,1,10000,181.32132316732304
tf2ekjffoeoptr3,1,1,199.83364633217644
tf2ekjffoeoptr3,1,5,207.30280138719746
tf2ekjffoeoptr3,1,10,207.2771401626713
tf2ekjffoeoptr3,1,100,212.05679591083202
tf2ekjffoeoptr3,1,1000,209.3733634313582
tf2ekjffoeoptr3,1,10000,208.62205463441356
4r8fa9xh0zzco6o,1,1,208.8679204936138
4r8fa9xh0zzco6o,1,5,209.74321968318733
4r8fa9xh0zzco6o,1,10,208.50782854260927
4r8fa9xh0zzco6o,1,100,211.1141065642813
4r8fa9xh0zzco6o,1,1000,214.25547983545204
4r8fa9xh0zzco6o,1,10000,209.85516676820322
a9tn75magy8nffy,1,1,187.1420397054495
a9tn75magy8nffy,1,5,191.84548256089892
a9tn75magy8nffy,1,10,188.77912412935444
a9tn75magy8nffy,1,100,193.57310759135885
a9tn75magy8nffy,1,1000,193.16352971614734
a9tn75magy8nffy,1,10000,193.6357117037536
rbrzxgywqun5ned,1,1,171.45805646344343
rbrzxgywqun5ned,1,5,164.08246522029276
rbrzxgywqun5ned,1,10,163.61009788706792
rbrzxgywqun5ned,1,100,166.51678435208606
rbrzxgywqun5ned,1,1000,168.7441802848959
rbrzxgywqun5ned,1,10000,165.2104212964781
jlbt4al7q4sv0kj,1,1,190.92951575988263
jlbt4al7q4sv0kj,1,5,194.5059726772464
jlbt4al7q4sv0kj,1,10,196.46527607219593
jlbt4al7q4sv0kj,1,100,196.30328780404395
jlbt4al7q4sv0kj,1,1000,195.95349199533212
jlbt4al7q4sv0kj,1,10000,194.90479647769152
lomhl7jw27e38km,1,1,180.48215947327412
lomhl7jw27e38km,1,5,188.95461630733135
lomhl7jw27e38km,1,10,192.20601097884506
lomhl7jw27e38km,1,100,191.07895262897705
lomhl7jw27e38km,1,1000,189.841807649626
lomhl7jw27e38km,1,10000,188.19781031455105
jtdzsxkh2scccvw,1,1,187.35386719923602
jtdzsxkh2scccvw,1,5,185.32797421057396
jtdzsxkh2scccvw,1,10,183.68974348717268
jtdzsxkh2scccvw,1,100,185.48907219171187
jtdzsxkh2scccvw,1,1000,188.50463457146267
jtdzsxkh2scccvw,1,10000,187.66111421922153
q3rm4bg3z295hv5,1,1,194.31298616755936
q3rm4bg3z295hv5,1,5,200.45218896949254
q3rm4bg3z295hv5,1,10,196.1680543711091
q3rm4bg3z295hv5,1,100,196.45607939666561
q3rm4bg3z295hv5,1,1000,198.22512337861528
q3rm4bg3z295hv5,1,10000,198.49171041161253
y0g9hknjyys0m49,1,1,183.29143254028455
y0g9hknjyys0m49,1,5,184.68916631365366
y0g9hknjyys0m49,1,10,182.89486642195902
y0g9hknjyys0m49,1,100,185.8186013215481
y0g9hknjyys0m49,1,1000,186.4984111711813
y0g9hknjyys0m49,1,10000,184.22342323457718
uet3pdw7hgm1hea,1,1,158.47736731700607
uet3pdw7hgm1hea,1,5,160.68603397569927
uet3pdw7hgm1hea,1,10,159.9322431330144
uet3pdw7hgm1hea,1,100,162.54466325463667
uet3pdw7hgm1hea,1,1000,163.88801358100847
uet3pdw7hgm1hea,1,10000,163.78601307129722
2het2jcuqxrh16x,1,1,196.1190054009723
2het2jcuqxrh16x,1,5,200.79541007698612
2het2jcuqxrh16x,1,10,199.21925920812288
2het2jcuqxrh16x,1,100,195.04454099786287
2het2jcuqxrh16x,1,1000,193.48755503561037
2het2jcuqxrh16x,1,10000,193.1449303063748
pqo0sdtzqqhkq76,1,1,149.8735258677397
pqo0sdtzqqhkq76,1,5,149.00370462241264
pqo0sdtzqqhkq76,1,10,145.72926984468265
pqo0sdtzqqhkq76,1,100,148.77568212868871
pqo0sdtzqqhkq76,1,1000,151.26029124623443
pqo0sdtzqqhkq76,1,10000,151.03441133487925
g63luoo50ve7yyn,1,1,180.21744634934683
g63luoo50ve7yyn,1,5,178.77325903047696
g63luoo50ve7yyn,1,10,179.72896987621291
g63luoo50ve7yyn,1,100,181.7916815966648
g63luoo50ve7yyn,1,1000,182.50483663932815
g63luoo50ve7yyn,1,10000,183.05443575274327
5vuexcfs8r2v26t,1,1,184.6766354836155
5vuexcfs8r2v26t,1,5,191.9903987475888
5vuexcfs8r2v26t,1,10,189.7118966657482
5vuexcfs8r2v26t,1,100,192.84451941514422
5vuexcfs8r2v26t,1,1000,194.01771393073506
5vuexcfs8r2v26t,1,10000,193.27073291507122
us6grs84gamvlyg,1,1,112.30677694134604
us6grs84gamvlyg,1,5,112.6324973838088
us6grs84gamvlyg,1,10,112.18561629468141
us6grs84gamvlyg,1,100,114.45467344521627
us6grs84gamvlyg,1,1000,114.43158521203921
us6grs84gamvlyg,1,10000,116.61377977628156
fb8xdh3czx77hyn,1,1,154.436795890442
fb8xdh3czx77hyn,1,5,155.8487518356309
fb8xdh3czx77hyn,1,10,155.35166293738527
fb8xdh3czx77hyn,1,100,156.4878007096726
fb8xdh3czx77hyn,1,1000,155.21399234267594
fb8xdh3czx77hyn,1,10000,157.14486035242558
rahonpod5yv68g4,1,1,127.24340858408446
rahonpod5yv68g4,1,5,127.85775885342137
rahonpod5yv68g4,1,10,125.5007287953807
rahonpod5yv68g4,1,100,131.34523949335198
rahonpod5yv68g4,1,1000,127.58787703177727
rahonpod5yv68g4,1,10000,128.00327999300066
9ckz34m3thm405a,1,1,109.82240218119665
9ckz34m3thm405a,1,5,110.97487619184044
9ckz34m3thm405a,1,10,108.06548123347598
9ckz34m3thm405a,1,100,111.00149642948206
9ckz34m3thm405a,1,1000,110.76454268086796
9ckz34m3thm405a,1,10000,109.59802818771504
dba0gupfpezprom,1,1,177.69927317735815
dba0gupfpezprom,1,5,176.04400860134535
dba0gupfpezprom,1,10,179.0684547245744
dba0gupfpezprom,1,100,179.91566050008925
dba0gupfpezprom,1,1000,177.24837536866028
dba0gupfpezprom,1,10000,177.2155706237992
4z5220nwml6k16r,1,1,182.419647777752
4z5220nwml6k16r,1,5,182.28421811557772
4z5220nwml6k16r,1,10,176.91925146016285
4z5220nwml6k16r,1,100,178.80069871312242
4z5220nwml6k16r,1,1000,177.93985192345627
4z5220nwml6k16r,1,10000,180.3419940242407
ylraknlb7m2m4j8,1,1,190.8760971751537
ylraknlb7m2m4j8,1,5,196.5617349263594
ylraknlb7m2m4j8,1,10,198.91491575879684
ylraknlb7m2m4j8,1,100,200.0223340963879
ylraknlb7m2m4j8,1,1000,201.55292016346823
ylraknlb7m2m4j8,1,10000,200.47686197510896
ygop6p10kgt4a4w,1,1,169.57244581082958
ygop6p10kgt4a4w,1,5,171.19451570577502
ygop6p10kgt4a4w,1,10,172.61258123866315
ygop6p10kgt4a4w,1,100,173.36230820956453
ygop6p10kgt4a4w,1,1000,174.218934074936
ygop6p10kgt4a4w,1,10000,175.2132960197032
anajk6su5f9k9yb,1,1,188.62963778916767
anajk6su5f9k9yb,1,5,186.23780314919054
anajk6su5f9k9yb,1,10,190.98143659903894
anajk6su5f9k9yb,1,100,191.12363992713904
anajk6su5f9k9yb,1,1000,189.60002396499763
anajk6su5f9k9yb,1,10000,190.27404484522285
qcurxvucaexqxs8,1,1,190.24274268273942
qcurxvucaexqxs8,1,5,189.72804973381443
qcurxvucaexqxs8,1,10,193.91090048288996
qcurxvucaexqxs8,1,100,191.34109259515392
qcurxvucaexqxs8,1,1000,190.8007725161915
qcurxvucaexqxs8,1,10000,193.5178159077536
bvoobt12gur23nj,1,1,176.71809665121316
bvoobt12gur23nj,1,5,180.70712312926557
bvoobt12gur23nj,1,10,176.00714351550337
bvoobt12gur23nj,1,100,177.71267350913962
bvoobt12gur23nj,1,1000,182.51235815192405
bvoobt12gur23nj,1,10000,182.09672156102476
zrk9ubdb0jcwyfh,1,1,153.93001479057605
zrk9ubdb0jcwyfh,1,5,156.6547161084361
zrk9ubdb0jcwyfh,1,10,153.6621204516979
zrk9ubdb0jcwyfh,1,100,154.63116775287827
zrk9ubdb0jcwyfh,1,1000,155.3503605491823
zrk9ubdb0jcwyfh,1,10000,155.55939464526156
je9la01s4txjkw5,1,1,143.77254494614994
je9la01s4txjkw5,1,5,137.63215538647827
je9la01s4txjkw5,1,10,142.75832650047414
je9la01s4txjkw5,1,100,149.40120319534105
je9la01s4txjkw5,1,1000,148.20859980887997
je9la01s4txjkw5,1,10000,148.19795305328236
cz7ln2tal5qhfz1,1,1,130.05451430242402
cz7ln2tal5qhfz1,1,5,132.2374761669455
cz7ln2tal5qhfz1,1,10,137.6272024900747
cz7ln2tal5qhfz1,1,100,141.12951123925356
cz7ln2tal5qhfz1,1,1000,138.8082303912127
cz7ln2tal5qhfz1,1,10000,138.980829835884
lymkfw9n1mft0no,1,1,154.0247676973847
lymkfw9n1mft0no,1,5,156.05268445411986
lymkfw9n1mft0no,1,10,155.99944934838376
lymkfw9n1mft0no,1,100,152.06731822560891
lymkfw9n1mft0no,1,1000,152.4257407933398
lymkfw9n1mft0no,1,10000,155.5987754014802
t7w0f2l0exzmotj,1,1,170.82518699627576
t7w0f2l0exzmotj,1,5,171.71740986880764
t7w0f2l0exzmotj,1,10,173.7341589557847
t7w0f2l0exzmotj,1,100,172.54905620806252
t7w0f2l0exzmotj,1,1000,172.34126401753124
t7w0f2l0exzmotj,1,10000,174.22753636057809
jfnmbjt4xn1r4dg,1,1,177.25390435743964
jfnmbjt4xn1r4dg,1,5,176.4207314060685
jfnmbjt4xn1r4dg,1,10,176.36449186295815
jfnmbjt4xn1r4dg,1,100,178.89267586206103
jfnmbjt4xn1r4dg,1,1000,176.91712625449708
jfnmbjt4xn1r4dg,1,10000,178.3213559261236
0kousukd07tco21,1,1,160.85034348494077
0kousukd07tco21,1,5,161.92880341869486
0kousukd07tco21,1,10,159.7123877337004
0kousukd07tco21,1,100,161.48999182938107
0kousukd07tco21,1,1000,161.86694772519735
0kousukd07tco21,1,10000,162.95444594454472
5mptj6ff8jp8fan,1,1,201.96379841620723
5mptj6ff8jp8fan,1,5,208.29005131019045
5mptj6ff8jp8fan,1,10,211.2869352130459
5mptj6ff8jp8fan,1,100,214.4772833364474
5mptj6ff8jp8fan,1,1000,215.24665744506623
5mptj6ff8jp8fan,1,10000,215.94025408674366
d4o3knz0mpk1e3r,1,1,187.33545236963408
d4o3knz0mpk1e3r,1,5,189.03364597965304
d4o3knz0mpk1e3r,1,10,190.7061943674326
d4o3knz0mpk1e3r,1,100,191.2361675263852
d4o3knz0mpk1e3r,1,1000,190.11132689229947
d4o3knz0mpk1e3r,1,10000,188.74937667627356
yvs2167kyhkctcg,1,1,119.45411474503716
yvs2167kyhkctcg,1,5,118.2321290556388
yvs2167kyhkctcg,1,10,119.33583460018254
yvs2167kyhkctcg,1,100,118.9130453260423
yvs2167kyhkctcg,1,1000,116.33574784092586
yvs2167kyhkctcg,1,10000,118.22100931738409
v2dh8a69mhuhkqz,1,1,175.4547075678707
v2dh8a69mhuhkqz,1,5,178.46440499007878
v2dh8a69mhuhkqz,1,10,176.80740298301149
v2dh8a69mhuhkqz,1,100,177.34768565292256
v2dh8a69mhuhkqz,1,1000,176.87872002243046
v2dh8a69mhuhkqz,1,10000,181.16073140090663
cd1ooce50gh5xra,1,1,190.4126722258898
cd1ooce50gh5xra,1,5,190.13400221953182
cd1ooce50gh5xra,1,10,188.37280272693448
cd1ooce50gh5xra,1,100,193.74508913930595
cd1ooce50gh5xra,1,1000,195.92415968392035
cd1ooce50gh5xra,1,10000,197.24106043847746
edj8zsg91okuwrc,1,1,185.58027563907663
edj8zsg91okuwrc,1,5,185.3122030787207
edj8zsg91okuwrc,1,10,185.94400115247012
edj8zsg91okuwrc,1,100,184.67516660879176
edj8zsg91okuwrc,1,1000,186.6368443229003
edj8zsg91okuwrc,1,10000,187.3311824554068
4w9ejvvn5wn1gp4,1,1,177.91048485823876
4w9ejvvn5wn1gp4,1,5,176.7362605693566
4w9ejvvn5wn1gp4,1,10,178.03499444960468
4w9ejvvn5wn1gp4,1,100,179.6727342650953
4w9ejvvn5wn1gp4,1,1000,182.16529812970154
4w9ejvvn5wn1gp4,1,10000,182.44400738442368
zybgre563nuk6gb,1,1,201.67422771835976
zybgre563nuk6gb,1,5,201.07036010125154
zybgre563nuk6gb,1,10,204.46250558097552
zybgre563nuk6gb,1,100,206.64590342210207
zybgre563nuk6gb,1,1000,207.56991588106658
zybgre563nuk6gb,1,10000,208.82860200160633
gcbscmvhn2vt6bq,1,1,182.09844950682054
gcbscmvhn2vt6bq,1,5,186.20352134894048
gcbscmvhn2vt6bq,1,10,181.24706506502324
gcbscmvhn2vt6bq,1,100,182.22065390292644
gcbscmvhn2vt6bq,1,1000,183.19226570158185
gcbscmvhn2vt6bq,1,10000,184.46560273302316
qn2bd9kkow9cfv1,1,1,164.81999497601348
qn2bd9kkow9cfv1,1,5,166.54795258630855
qn2bd9kkow9cfv1,1,10,164.6847196244706
qn2bd9kkow9cfv1,1,100,160.07173630135088
qn2bd9kkow9cfv1,1,1000,159.7338192515982
qn2bd9kkow9cfv1,1,10000,161.785434221531
zjckc3bo5wlwdhf,1,1,187.07327047833846
zjckc3bo5wlwdhf,1,5,192.4944359360056
zjckc3bo5wlwdhf,1,10,195.51746440259055
zjckc3bo5wlwdhf,1,100,188.5698563278134
zjckc3bo5wlwdhf,1,1000,192.5790989977354
zjckc3bo5wlwdhf,1,10000,190.3922943674152
6a0rzgq5xfwq5gb,1,1,164.6935172844386
6a0rzgq5xfwq5gb,1,5,166.7866276008043
6a0rzgq5xfwq5gb,1,10,160.27240182739126
6a0rzgq5xfwq5gb,1,100,166.45467655736397
6a0rzgq5xfwq5gb,1,1000,161.4863106930373
6a0rzgq5xfwq5gb,1,10000,162.6986107567448
2umoxqltydb26ta,1,1,168.38214376034534
2umoxqltydb26ta,1,5,169.034801534229
2umoxqltydb26ta,1,10,172.26733655312827
2umoxqltydb26ta,1,100,171.2865449977707
2umoxqltydb26ta,1,1000,170.74668228278833
2umoxqltydb26ta,1,10000,171.12158168511317
krtzqhvu9bkamrg,1,1,211.7009057566923
krtzqhvu9bkamrg,1,5,218.4280580864072
krtzqhvu9bkamrg,1,10,216.15043923052508
krtzqhvu9bkamrg,1,100,217.46525493670885
krtzqhvu9bkamrg,1,1000,215.45866464513398
krtzqhvu9bkamrg,1,10000,220.68004629128828
3jubrevqkxk105x,1,1,153.0723006184753
3jubrevqkxk105x,1,5,155.0433042163814
3jubrevqkxk105x,1,10,156.03535055018045
3jubrevqkxk105x,1,100,153.98147268498025
3jubrevqkxk105x,1,1000,154.23350820219
3jubrevqkxk105x,1,10000,151.9794620215688
3ygub809y5e0rxr,1,1,184.14427409262723
3ygub809y5e0rxr,1,5,187.0337600209512
3ygub809y5e0rxr,1,10,189.03447666620858
3ygub809y5e0rxr,1,100,189.88805427052392
3ygub809y5e0rxr,1,1000,193.26702160109724
3ygub809y5e0rxr,1,10000,190.9006590227806
a2pxd76fec08wqv,1,1,194.2345319890364
a2pxd76fec08wqv,1,5,194.89345392014644
a2pxd76fec08wqv,1,10,193.6182935048967
a2pxd76fec08wqv,1,100,195.48268237843675
a2pxd76fec08wqv,1,1000,198.36124795629422
a2pxd76fec08wqv,1,10000,195.76748006462816
h6qct37mx0ek964,1,1,157.5397318243349
h6qct37mx0ek964,1,5,157.17021494885898
h6qct37mx0ek964,1,10,157.50685664848226
h6qct37mx0ek964,1,100,160.5556555273368
h6qct37mx0ek964,1,1000,159.84427447920802
h6qct37mx0ek964,1,10000,159.60642735345945
rtd925uhy78rvmr,1,1,127.09967023153324
rtd925uhy78rvmr,1,5,129.56931928825608
rtd925uhy78rvmr,1,10,130.1308200189399
rtd925uhy78rvmr,1,100,131.14781626434913
rtd925uhy78rvmr,1,1000,131.20458833128583
rtd925uhy78rvmr,1,10000,129.76983977252735
qbzttsocef3cc2y,1,1,178.63089143329813
qbzttsocef3cc2y,1,5,176.77379667872577
qbzttsocef3cc2y,1,10,178.99447981681016
qbzttsocef3cc2y,1,100,180.48697320486772
qbzttsocef3cc2y,1,1000,180.55950236890018
qbzttsocef3cc2y,1,10000,181.17892905367464
ub40eh4k8rdgvtb,1,1,135.54395366828004
ub40eh4k8rdgvtb,1,5,134.73611168834168
ub40eh4k8rdgvtb,1,10,133.34898872210923
ub40eh4k8rdgvtb,1,100,136.67000376694958
ub40eh4k8rdgvtb,1,1000,135.69143617393513
ub40eh4k8rdgvtb,1,10000,135.44054435260026
fo7rrkaarq1yxbk,1,1,184.83548991489275
fo7rrkaarq1yxbk,1,5,183.17473742010634
fo7rrkaarq1yxbk,1,10,185.00138307634217
fo7rrkaarq1yxbk,1,100,185.44924719624396
fo7rrkaarq1yxbk,1,1000,185.86724361087627
fo7rrkaarq1yxbk,1,10000,185.7921025470011
q5ep7vxrajzuy3s,1,1,170.34488645897017
q5ep7vxrajzuy3s,1,5,168.18571854487547
q5ep7vxrajzuy3s,1,10,170.94831598952277
q5ep7vxrajzuy3s,1,100,171.43433254315377
q5ep7vxrajzuy3s,1,1000,174.767164953868
q5ep7vxrajzuy3s,1,10000,174.4378125472707
gqbcw11bbup9p63,1,1,181.24260751546421
gqbcw11bbup9p63,1,5,183.08275118245987
gqbcw11bbup9p63,1,10,183.20100310368446
gqbcw11bbup9p63,1,100,183.43884491331943
gqbcw11bbup9p63,1,1000,184.83218005712087
gqbcw11bbup9p63,1,10000,184.98184403415493
bp49s1tkfbb8xru,1,1,101.01179929893567
bp49s1tkfbb8xru,1,5,99.81683362386796
bp49s1tkfbb8xru,1,10,102.60300539196112
bp49s1tkfbb8xru,1,100,101.8567061686945
bp49s1tkfbb8xru,1,1000,104.42066046494693
bp49s1tkfbb8xru,1,10000,104.50537631114793
vrlt89awtbuehfx,1,1,177.83024026533607
vrlt89awtbuehfx,1,5,169.58328232460227
vrlt89awtbuehfx,1,10,169.20725092621964
vrlt89awtbuehfx,1,100,170.388431436275
vrlt89awtbuehfx,1,1000,173.17969518896817
vrlt89awtbuehfx,1,10000,172.7947322530592
5l5ksa2v5z1xcrs,1,1,138.6367811544071
5l5ksa2v5z1xcrs,1,5,140.71790496915003
5l5ksa2v5z1xcrs,1,10,139.87585392099697
5l5ksa2v5z1xcrs,1,100,139.23901228464027
5l5ksa2v5z1xcrs,1,1000,139.0827683087707
5l5ksa2v5z1xcrs,1,10000,139.38190308413687
m50kxs0ne7ln5xe,1,1,147.85601188075566
m50kxs0ne7ln5xe,1,5,151.67310135909628
m50kxs0ne7ln5xe,1,10,155.8581338247132
m50kxs0ne7ln5xe,1,100,154.571051248879
m50kxs0ne7ln5xe,1,1000,153.53406053419585
m50kxs0ne7ln5xe,1,10000,155.04486702135662
wdhmud3k27y9347,1,1,158.52930348217575
wdhmud3k27y9347,1,5,154.28340882716049
wdhmud3k27y9347,1,10,153.66929170704896
wdhmud3k27y9347,1,100,153.81558784952972
wdhmud3k27y9347,1,1000,155.8164406529942
wdhmud3k27y9347,1,10000,156.1239917409779
s0kptdmjr5nhxj4,1,1,126.07368682597652
s0kptdmjr5nhxj4,1,5,126.41788994850623
s0kptdmjr5nhxj4,1,10,128.19712349743358
s0kptdmjr5nhxj4,1,100,131.68690677955777
s0kptdmjr5nhxj4,1,1000,128.23521901374497
s0kptdmjr5nhxj4,1,10000,130.91910048586593
x03mf9pz89y5s1k,1,1,166.17101836673825
x03mf9pz89y5s1k,1,5,171.26783264235752
x03mf9pz89y5s1k,1,10,165.6276952389855
x03mf9pz89y5s1k,1,100,166.90585374295938
x03mf9pz89y5s1k,1,1000,167.18547022008735
x03mf9pz89y5s1k,1,10000,168.87576832649486
k45h5lxk13xjkxs,1,1,177.6622455574884
k45h5lxk13xjkxs,1,5,177.4657340847164
k45h5lxk13xjkxs,1,10,177.1869263783646
k45h5lxk13xjkxs,1,100,179.24250468789347
k45h5lxk13xjkxs,1,1000,177.79994790414554
k45h5lxk13xjkxs,1,10000,178.90873722543557
mqng9gal5nqwgz9,1,1,201.3969138682564
mqng9gal5nqwgz9,1,5,198.76959255583066
mqng9gal5nqwgz9,1,10,200.56938664703307
mqng9gal5nqwgz9,1,100,195.4012099718287
mqng9gal5nqwgz9,1,1000,195.2950630657746
mqng9gal5nqwgz9,1,10000,198.02458112085856
fhx07b8nwvnqhok,1,1,174.59510479656106
fhx07b8nwvnqhok,1,5,175.10666041805783
fhx07b8nwvnqhok,1,10,175.69875362890534
fhx07b8nwvnqhok,1,100,174.21005742003632
fhx07b8nwvnqhok,1,1000,174.85326034415522
fhx07b8nwvnqhok,1,10000,177.3398487811597
z4po88qwrs63ldg,1,1,156.0662517407698
z4po88qwrs63ldg,1,5,158.26163308258967
z4po88qwrs63ldg,1,10,161.45102082770896
z4po88qwrs63ldg,1,100,162.57631761024044
z4po88qwrs63ldg,1,1000,162.63257223089093
z4po88qwrs63ldg,1,10000,161.72594083031734
xyvdwfe8z64oyoz,1,1,180.75419382732795
xyvdwfe8z64oyoz,1,5,176.55526222330317
xyvdwfe8z64oyoz,1,10,180.4056141867747
xyvdwfe8z64oyoz,1,100,176.72903814991272
xyvdwfe8z64oyoz,1,1000,174.87032799074137
xyvdwfe8z64oyoz,1,10000,175.8654686214022
z2x1ybgywapr8x0,1,1,189.76315443240844
z2x1ybgywapr8x0,1,5,196.6691835635284
z2x1ybgywapr8x0,1,10,191.99780028876935
z2x1ybgywapr8x0,1,100,195.12840289362094
z2x1ybgywapr8x0,1,1000,194.97476471057846
z2x1ybgywapr8x0,1,10000,194.30701927063222
zpdbjkc3r3564ye,1,1,186.76299707231593
zpdbjkc3r3564ye,1,5,190.29304638486786
zpdbjkc3r3564ye,1,10,197.8142427200745
zpdbjkc3r3564ye,1,100,196.7784298470938
zpdbjkc3r3564ye,1,1000,194.01069514961668
zpdbjkc3r3564ye,1,10000,196.37224594987293
3j2uzccgoqa3u2m,1,1,169.00008020344472
3j2uzccgoqa3u2m,1,5,174.17521509841916
3j2uzccgoqa3u2m,1,10,175.36562083203063
3j2uzccgoqa3u2m,1,100,173.42357998731762
3j2uzccgoqa3u2m,1,1000,175.7274758457725
3j2uzccgoqa3u2m,1,10000,173.12854633526237
vum2fldfgzx1jw1,1,1,169.57121718668589
vum2fldfgzx1jw1,1,5,170.3654995948931
vum2fldfgzx1jw1,1,10,167.79577601459036
vum2fldfgzx1jw1,1,100,168.61168527073318
vum2fldfgzx1jw1,1,1000,169.4385131679256
vum2fldfgzx1jw1,1,10000,166.7771494997603
